,year,genres,playtime_forever
0,1983,"['Adventure', 'Action', 'FMV', 'Casual', 'Quick-Time Events', 'Arcade', 'Classic', '1980s', 'Retro', 'Cartoon', 'Difficult', 'Short']",59.699999999999996
1,1984,"['Adventure', 'Casual', 'Action', 'Quick-Time Events', 'FMV', 'Classic']",6.3999999999999995
2,1987,"['Adventure', 'Classic', 'Pixel Graphics', 'Point & Click', '1980s', 'Detective', 'Retro', ""1990's""]",124.68333333333332
3,1987,"['Adventure', 'Simulation', 'Pirates', 'Classic']",3.916666666666666
4,1987,"['Simulation', 'Retro']",0.0
5,1988,"['Adventure', 'Action', 'Classic', 'Pixel Graphics', 'Historical', 'America', '1980s', 'Third Person', 'Difficult']",270.71666666666664
6,1988,"['RPG', 'Post-apocalyptic', 'Classic', 'Turn-Based', 'Adventure', 'Strategy', 'Retro', 'Sci-fi', 'Indie', '2D', 'CRPG', 'Singleplayer', 'Action', 'Pixel Graphics', 'Great Soundtrack']",233.3
7,1988,"['Simulation', 'Flight', 'Classic']",0.0166666666666666
8,1988,"['Simulation', 'Flight']",0.0
9,1989,"['Adventure', ""1990's"", '1980s', 'RPG', 'Classic', 'Fantasy', 'Pixel Graphics', 'Point & Click', '2D']",0.5499999999999998
10,1989,"['Adventure', 'Action', 'Detective', 'Noir', 'Mystery', 'Cyberpunk', 'Classic', 'Post-apocalyptic', 'Flight', '1980s', 'Dystopian', 'Pixel Graphics', 'Atmospheric', 'Open World', 'Story Rich']",10.116666666666665
11,1989,"['Adventure', 'Point & Click', 'Classic', 'Pixel Graphics', '1980s', 'Difficult', 'Third Person', 'Retro']",60.0
12,1989,"['Adventure', 'Simulation', 'Retro', 'Classic', 'Strategy']",84.73333333333335
13,1989,['Simulation'],0.0
14,1990,"['Action', 'Adventure', 'Platformer', ""1990's""]",1.0666666666666667
15,1990,"['Action', 'Simulation', 'World War I']",0.0833333333333332
16,1990,"['Adventure', 'Platformer', 'Retro']",1.3666666666666665
17,1990,"['Adventure', 'Point & Click', 'Classic', 'Fantasy', 'Puzzle', 'Music', 'Singleplayer', 'Pixel Graphics', 'Atmospheric', ""1990's"", 'Short', 'Third Person', 'Retro']",72.48333333333333
18,1990,"['Platformer', 'Classic', 'Action', '2D', 'Retro', ""1990's"", 'Sci-fi', 'Singleplayer', 'Family Friendly']",311.96666666666664
19,1990,"['Simulation', 'Adventure', 'Classic', 'Pixel Graphics']",17.383333333333336
20,1990,"['Simulation', 'Classic', 'Naval', 'Retro']",0.2833333333333332
21,1990,"['Simulation', 'Flight', 'World War I']",14.35
22,1990,"['Strategy', 'Retro', ""1990's""]",0.9999999999999998
23,1991,"['Action', 'Adventure', 'Puzzle', ""1990's""]",1.9166666666666665
24,1991,"['Action', 'Classic', 'Platformer', ""1990's""]",12.216666666666667
25,1991,"['Action', 'Platformer', 'Retro']",3.5500000000000003
26,1991,"['Adventure', 'Action', 'Platformer', 'Retro']",1.433333333333333
27,1991,"['Adventure', 'Casual', 'Action', 'Classic', 'FMV', 'Quick-Time Events']",22.583333333333332
28,1991,"['Adventure', 'Point & Click', 'Detective', 'Classic', 'FMV', 'Noir', ""1990's"", 'Pixel Graphics', 'Cyberpunk', 'Post-apocalyptic', 'Mystery', 'Dystopian', 'Atmospheric', 'Third Person']",2.7666666666666666
29,1991,"['Simulation', 'Flight', 'Classic', 'Stealth']",2.3999999999999995
